Urmaitis, sfstgdg 5, 2 14    65874631 4 641643615
Lauksaitis, kznvsvn 3, 4 12 65468476 3 864616841
Bbbbbbbb, awfafine 3, 7 13    97461967 4 168431565
Cccccccc, afafa6, 1 8     21646168 6 321456461
Dddddddd, agsghdhh5, 3 20    16954687 2 545646651
Eeeeeeee, asaf6, 5 13    46984164 7 864616841
Ffffffff, asg agg 1, 7 2     65498516 9 168431565
Gggggggg, safa fa 2, 8 13    46841684 4 641643615
Hhhhhhhh, aflmalfm 12, 8 7     65165468 1 321654648
Iiiiiiii, asfn algnal 3-3, 4 9     16546848 3 321654648
Jjjjjjjj, asfmaf 91, 9 9     12345678 2 321456461
