Urmaitis, Urmas, 2 14    65874631 4 641643615
Lauksaitis, Laukas, 4 12 65468476 3 864616841
Bbbbbbbb, Aaaaa, 7 13    97461967 4 168431565
Cccccccc, Ccccc, 1 8     21646168 6 321456461
Dddddddd, Ddddd, 3 20    16954687 2 545646651
Eeeeeeee, Eeeee, 5 13    46984164 7 864616841
Ffffffff, Fffff, 7 2     65498516 9 168431565
Gggggggg, Ggggg, 8 13    46841684 4 641643615
Hhhhhhhh, Hhhhh, 8 7     65165468 1 321654648
Iiiiiiii, Iiiii, 4 9     16546848 3 321654648
Jjjjjjjj, Jjjjj, 9 9     12345678 2 321456461
